02/Jun/2018:21,iPhone,1
12/Jun/2018:19,iPhone,1
03/Jun/2018:19,iPhone,1
04/Jun/2018:07,iPhone,2
04/Jun/2018:17,iPhone,1
04/Jun/2018:18,iPhone,4
04/Jun/2018:19,iPhone,1
04/Jun/2018:20,iPhone,1
04/Jun/2018:21,iPhone,1
04/Jun/2018:22,iPhone,3
04/Jun/2018:23,iPhone,4
05/Jun/2018:01,iPhone,3
05/Jun/2018:02,iPhone,4
05/Jun/2018:03,iPhone,1
05/Jun/2018:17,iPhone,132
05/Jun/2018:18,iPhone,17
05/Jun/2018:19,iPhone,101
03/Jun/2018:18,iPhone,1
05/Jun/2018:20,iPhone,823
05/Jun/2018:21,iPhone,3
05/Jun/2018:23,iPhone,16
06/Jun/2018:00,iPhone,362
06/Jun/2018:01,iPhone,313
06/Jun/2018:02,iPhone,399
06/Jun/2018:03,iPhone,4
06/Jun/2018:04,iPhone,44
06/Jun/2018:05,iPhone,40
06/Jun/2018:07,iPhone,1
06/Jun/2018:16,iPhone,377
06/Jun/2018:17,iPhone,4
06/Jun/2018:18,iPhone,55
06/Jun/2018:19,iPhone,102
07/Jun/2018:01,iPhone,17
07/Jun/2018:02,iPhone,17
07/Jun/2018:15,iPhone,423
07/Jun/2018:16,iPhone,426
07/Jun/2018:17,iPhone,733
07/Jun/2018:18,iPhone,218
07/Jun/2018:19,iPhone,310
07/Jun/2018:20,iPhone,319
07/Jun/2018:21,iPhone,204
07/Jun/2018:22,iPhone,292
07/Jun/2018:23,iPhone,195
08/Jun/2018:01,iPhone,1
08/Jun/2018:04,iPhone,579
08/Jun/2018:05,iPhone,193
08/Jun/2018:06,iPhone,1
08/Jun/2018:07,iPhone,1
08/Jun/2018:08,iPhone,1
08/Jun/2018:13,iPhone,23
08/Jun/2018:14,iPhone,445
08/Jun/2018:15,iPhone,559
08/Jun/2018:16,iPhone,521
08/Jun/2018:17,iPhone,271
08/Jun/2018:18,iPhone,5
08/Jun/2018:23,iPhone,19
09/Jun/2018:00,iPhone,54
09/Jun/2018:01,iPhone,4
09/Jun/2018:02,iPhone,4
09/Jun/2018:03,iPhone,4
09/Jun/2018:05,iPhone,1
09/Jun/2018:13,iPhone,47
09/Jun/2018:17,iPhone,3
09/Jun/2018:18,iPhone,4
11/Jun/2018:01,iPhone,4
11/Jun/2018:02,iPhone,53
11/Jun/2018:03,iPhone,226
11/Jun/2018:05,iPhone,1
11/Jun/2018:06,iPhone,20
11/Jun/2018:15,iPhone,3
11/Jun/2018:16,iPhone,509
11/Jun/2018:17,iPhone,193
11/Jun/2018:18,iPhone,8
11/Jun/2018:19,iPhone,43
11/Jun/2018:20,iPhone,61
11/Jun/2018:21,iPhone,154
11/Jun/2018:22,iPhone,434
11/Jun/2018:23,iPhone,486
12/Jun/2018:00,iPhone,511
12/Jun/2018:01,iPhone,863
12/Jun/2018:02,iPhone,689
12/Jun/2018:03,iPhone,4
12/Jun/2018:04,iPhone,8
12/Jun/2018:10,iPhone,12
12/Jun/2018:12,iPhone,17
12/Jun/2018:13,iPhone,1